x,y,titel,preis,entfernung,tage,musicEstimate,popularitaet
11.1997148175,2.56082948132,"Mean Stream Band – Rock",0.0,382.20511604180996,952,1000,607
-9.53704135207,-9.07588201346,"THOMAS BLUG plays HENDRIX part II",0.0,498.8970134837929,442,968,54
2.6853779683,9.78614166808,"Mission 2014 - Silvester Party",2.0,467.34122942459317,1061,1000,126
1.29538138539,-4.11411836035,"Sommer-Live-Café: Französische Chansons",6.0,499.53520086523883,1255,1000,0
-4.21033619262,6.31806148817,"RATIONAL Expertenküche Veranstaltungen/Partyservice und A la carte",0.0,447.3148428471727,1594,0,3
5.04816119785,3.92097820757,"Neue Bühne Nürnberg: Perfect Happiness",0.0,261.4156823935278,705,0,235
-7.77223525339,0.910516105419,"NACHT der offenen Tür",0.0,300.13506854016686,361,225,8
-0.95811731185,3.71505920325,"Partymeile",0.0,232.2000621705252,1016,0,3
4.35075466136,-0.434399286808,"Weihnachtskonzert",3.5,468.8567852006477,678,819,69
-4.57032891915,10.8541703404,"CONTRAST - Film, Malerei, Grafik von Carmen Büchner",0.0,168.88810004464955,1289,0,4
-2.87615511626,-10.9939957362,"donnerstags in Remscheid LIVE",0.0,457.60696818711426,1609,944,0
1.5722189115,1.2596765185,"Monty Alexander & his Harlem Kingston Express",0.0,358.5359291641996,1472,1000,1036
7.0832924263,-9.87560903168,"Making of AMIZARAS auf der FeenCon 2014",0.0,463.72073428892514,1262,0,495
-1.5954624102,6.38644028914,"Schneefuß",0.0,103.11396000684559,1389,0,441
0.365126285891,10.0769455426,"Stefan Knittler + Band live im Piranha",0.0,476.17158937526654,1518,1000,110
-2.65712886864,-1.85047466408,"Andy Martin",0.0,485.7606933487637,1512,0,79
0.909423731636,1.34813428266,"Einladung zur Offenen Bühne im topos Leverkusen",0.0,472.82878370458224,1489,23,0
7.86365075133,-8.22397771011,"good night - white pride Konzert (Hardcore)",0.0,375.1047890514081,1002,0,1
-9.72933419313,-4.96873403597,"Land Rover live Segeln",0.0,355.4967434858017,799,0,4
-9.07691654848,-4.67284400076,"Eröffnung des REGENSBURG POPKULTUR FESTIVALS",0.0,254.5917589770296,1358,0,375
-10.4499750889,3.46624274686,"The Cubes - men at work",0.0,255.17657541480423,1359,0,2
-0.979124660969,0.862221257442,"Sugarpops",0.0,496.97908183947425,963,1000,168
-9.29633184184,-4.57230903537,"Silvester Party 2013 im Bienenkorb Passau",0.0,277.8571532682264,1061,1000,0
2.2257775358,6.3147185447,"Frühlingsfest",0.0,131.96863405594627,451,0,13
1.71299270001,6.54083035418,"ST. MARTINUS oder ICH GEHE MIT MEINER LATERNE",0.0,485.8036742052738,1374,0,62
4.14389140004,6.17248330816,"Salsa Cubana Workshop - für Einsteiger",0.0,476.1505097010456,1227,0,23
3.89773374466,2.73682785364,"VWZ Benefiz Dartborussen Soest",0.0,380.4999281225362,1288,806,1
-2.87907197352,-1.86455226799,"NOCHE DE SALSA , COCTELES Y TAPAS “",0.0,470.86102408775054,1300,1000,74
-6.64748356402,5.02900012064,"Kultur im Hof - Free Bears",0.0,479.1981159475118,890,0,10
6.41527643241,6.89443041059,"Bergisches Quintett",0.0,465.7900326406928,863,1000,160
9.86474220412,-4.11657514984,"Ü35 Party in Zwickau",0.0,94.41607876278474,813,813,51
-7.90780278003,2.14232289105,"CRD Heimbout am 18.Oktober",7.0,476.69778068268096,1352,0,4
1.38397018403,1.40863552721,"Eröffnung des audiosus hörzentrums",0.0,284.37908418751243,1548,0,6
-3.33479334064,-8.39212813092,"Andre Hartmann Radio Aktiv",0.0,255.17657541480423,1693,0,2
10.7041292504,3.41794433968,"Bei Sonnenuntergang auf dem Lousberg",0.0,537.7151593851864,1209,0,2
-9.23633339858,-9.68101000973,"Chilln mit Gott - Studierendengottesdienst",0.0,537.7224248439211,1577,0,2
11.6039603484,1.7244101134,"Neue Konzertreihe 'Blue Sunday' - Kooperation Bayerischer Hof/Jazz Institut",0.0,359.46841513871436,982,1000,1924
3.98038703767,3.92693933425,"Erstiparty des FSRs der Phil Fak I",1.0,132.40320176208772,969,0,12
9.25250437586,3.44124944053,"JazzJam@Milla",0.0,359.7574723708917,810,1000,17
-5.84461014265,-0.298565866169,"GUTELAUNEMUSIK-TOUR - Die Arbeitslosen Bauarbeiter live beim Schönherr.FEST in Chemnitz",0.0,61.69180234222089,883,1000,11
-2.14060116102,9.87480716647,"Forschungskolloquium Pop-Musik-Welten",0.0,359.9796559753775,1026,294,4
-3.83710882685,-7.33406494994,"Große Löwen-Party",19.0,461.2559883569172,1121,1000,255
7.66067492226,-7.15323988173,"NBBL Viertelfinale: finke baskets - Piraten Hamburg",0.0,354.398713582097,1163,0,0
-1.36013784479,-6.38141276369,"30 Jahre PLANTAGE!",0.0,326.83113349240324,918,1000,22
-5.73325000859,2.50213903442,"Lounge in the City - AfterWorkParty",0.0,358.71753735262456,1294,16,37
-5.61468939307,-4.02759547672,"R'n'R Stammtisch: 'The Tweedys' (Rock 'n' Roll) !!!",0.0,100.29374743694805,1104,0,1
4.42217137604,4.19806607428,"Dredner Stadtrundschau",0.0,2.2263857219808116,648,23,104
-2.98342313659,7.88911872437,"Champions League Finale",0.0,433.77227413672944,841,841,18
2.37691232625,-4.74849743505,"Gegen den Bagida Marsch",0.0,360.2827511756517,1480,0,4
4.17284403253,4.0232300811,"Eröffnungskonzert",0.0,277.15306648042116,623,0,326
11.589058882,3.31918178275,"Offener Austausch unter Menschen",0.0,491.98614052741243,1468,0,14
-4.4681748799,6.5029764973,"Eiländ",0.0,463.7009820030601,1178,1000,87
0.940027919481,11.2166270093,"Discofox und Boogie-Party",0.0,515.573665829012,890,0,15
-11.5504104101,3.74593216528,"Halloween - Party",0.0,305.2844556687091,1000,951,26
-7.89566985821,6.98787763368,"3. Deutscher Jugendtanzpreis Jugend tanzt Klassik",0.0,361.661185828778,876,566,364
2.47254775664,-2.76902042136,"Konzert der A-capella-Gruppe Vorlaut",0.0,245.40479301145368,1289,0,0
-2.51402513187,1.09645127272,"TUSSIPARK",0.0,1.421826486626916,1705,0,207
-3.69911697137,-2.06471034866,"Faschingsdisco in Langeneck Skiclub -Faschingsdisco",0.0,323.4423094925096,735,148,170
4.75786922213,3.59720369696,"Der musikalische Morgenkreis",0.0,356.70885020870435,837,0,13
-2.03235189272,-6.21431726247,"Live Fußball: Bundesliga",0.0,239.85941646434972,1156,0,4
2.49302858447,-12.3624186121,"1. Weihnachts-Event 2014",0.0,262.41359177968735,1379,0,3
-4.38304231006,11.5357179704,"Premierenlesung Kati Naumann: Die große weite Welt der Mimi Balu mit musikalischer Begleitung des Mimi Balu Trios",6.0,100.28489943876406,1537,0,5
7.52659527378,5.28403622592,"C-Moon LIVE",0.0,223.17779558832132,1546,0,11
4.14232775283,-11.1989024937,"KORREKT Mode feiert 25-jähriges JUBILÄUM",0.0,487.3608356342652,807,0,6
6.40886021049,8.86625282524,"XXL-Freitag im Lighthouse",0.0,456.4217475785462,1148,806,0
11.5147710876,1.09752830392,"TheHouseMOVE",0.0,481.572262043854,673,0,4
-3.1203577307,-4.07335024439,"Die Scheibenwischer  -Wir wären dann soweit!-",0.0,465.7900326406928,366,0,160
2.20878372592,11.6623502359,"Tanz in den Mai mit den Blackshoes!",0.0,479.86761644868506,1546,995,261
6.86694236526,5.55576660493,"Jugend Tanzparty: X-mas warm up Party. Heute kommt der Nikolaus.",0.0,369.39002756958496,1401,993,0
-4.1368001771,11.2119814188,"Alles nur Show",0.0,470.27717458900395,955,0,31
-10.2298046384,-5.4714074936,"FC Bayern München vs. Hertha BSC Berlin",0.0,389.47309205683337,1541,0,34
2.25077424398,1.88670627606,"2. Jahresparty Hanau's Essen & Trinken",0.0,469.3129611895929,1226,1000,10
7.23294215621,0.837933552776,"CLUBABEND!!!",0.0,13.351708344427808,743,0,40
12.7804272818,0.411268986258,"Karnevalsparty im Alten Lindenhof",0.0,464.465011937347,1124,918,10
3.81625858801,-4.8519059321,"LIEBLINGSSTÜCKE - eine 10-jährige Retrospektive",0.0,261.23029409594153,1330,3,2
-3.79730554301,-7.77806913302,"Sensual-Kizomba-Community",4.0,362.99722077988224,1572,1000,6
-0.0924290400686,-5.91750828865,"CAMPUS FLASH - 2€ SPECIAL PARTY",2.0,476.04212463547395,1582,0,38
1.92382468595,6.50223389831,"Macbeth",0.0,456.06611381266936,1471,0,237
6.07837939278,-1.0719208283,"Zouk It Night Cologne!",0.0,476.1505097010456,1009,0,23
-0.484363768146,10.3482523157,"Weihnachtsliedersingen",0.0,100.43553617148795,1052,148,305
-8.84371654548,1.75076593392,"? Poolparty Forheim ?",0.0,346.7456800254118,1281,0,3
8.77938313827,8.37782797098,"BEST OF ACOUSTIC SLAM",4.0,474.6664573186236,488,1000,96
9.83071144382,-4.10806594324,"Für mich soll´s rote Rosen regnen",0.0,460.499861748209,758,137,183
-7.90056784809,1.33740316805,"EQUINOX Frühling",0.0,358.84348080333564,1140,0,0
-12.7570471443,-0.692282662476,"Festival - Survivalkiosk am Klimperkasten",0.0,329.21998402424134,1273,15,56
6.7949007947,-5.95576991715,"Halbfinale Deutschland",0.0,59.33121451774043,510,448,54
-10.3342447161,-7.38822780462,"Jürgen Schwab",0.0,238.44890770280804,448,1000,148
-4.19216236649,4.00407649231,"Rockabilly Party - Midnight Monsters Hop - 06.06. Club Palais 13",0.0,189.68069024601166,1582,1000,14
-3.23423321029,1.91384041415,"Dive Deeper Yoga on the beat",0.0,439.44434916708474,734,0,0
-3.65009898637,-7.37767981365,"FChampions League LIVE-Übertragung Juventus Turin - FC BAYERN im 'LA VIVRE'",0.0,324.6439174835868,796,0,17
-5.61248529356,2.56573932063,"Havana Night Fever Party",0.0,399.45508889570266,1140,0,0
-4.55074600402,0.611100492108,"Kerwa 2014 - Livemusik mit Akust-X",0.0,237.37498023201002,1332,0,14
1.69129024005,-6.49942714277,"Kirschblütenfest - Naked Superhero",0.0,361.43691914183154,1540,1000,150
1.73435943362,6.49199612145,"After Zug Party",0.0,534.8312555479023,1121,782,42
0.276038212031,-1.90263366026,"Music-Night - Edy Edwards - Someone´s Missing - Slippery Affair",0.0,468.5691594482905,1338,1000,41
-7.52975808991,-0.733898839017,"Exact Silvester  Party",7.0,438.53205705277367,1425,1000,23
8.50227343417,6.73192716434,"Rock am Wackelpeter",0.0,375.2444726579835,939,0,77
11.8368454954,0.950204210729,"HEUTE // King Kong Kicks w/ Sylvan Esso live // Hotel Shanghai Essen",0.0,469.88426620851124,1324,1000,48
-1.09355046458,6.70055899859,"Essa Milonga am 16.05.2015",0.0,262.6677641909585,1561,0,7
-6.32969446936,4.52426150041,"Silvesterparty",0.0,152.65545626828575,1425,763,0
-3.82383718645,4.1947270353,"DOUGLAS GREED FEAT. NAGLER & KUSS LIVE - NEO.POP NACHT",0.0,190.3065039777621,960,1000,1374
12.0685493807,-2.34395975001,"Tanzwerkstatt 2013",0.0,402.5119054667871,973,802,63
-2.49116267266,0.959918338194,"Thomas  Rups  Unger und Band   „Alles was ich brauch Tour 2014“",0.0,128.7574115317745,1387,947,228
7.30648861855,-6.00374927886,"Sa. 09.02. - 2 Years Clubbing Brotherz",0.0,95.15588656496631,736,1000,59
-3.39347867681,-10.9086244782,"HARDCORE in the ZORA: ADJUDGEMENT vs. SICK TIMES",7.0,207.20275752960524,959,0,0
-9.64245963567,0.424958192328,"Swing on Friday",3.0,362.0110171743749,742,0,0
-3.79021624449,-7.84197495289,"Ella Hayes and the homecomings",0.0,100.22213995695851,393,1000,232
5.58747607552,-1.98087889309,"TRAINSPOTTING nach irvine welsh",0.0,456.5255718863954,1450,0,41
11.3335548619,-4.44561173718,"Pop, Rock und Gospel für den guten Zweck: Das Benefiz Konzert zum 25 jährigen Bestehen der MS Selbsthilfegruppe für den Kreis Heinsberg",10.0,525.2580048582303,953,0,8
9.85276889465,1.77869496963,"Gin and Juice Session (No. 04/2015)",0.0,470.4909382575223,1480,1000,93
4.26975251117,-0.430570791545,"Open Air Grillfest 2012",0.0,212.8116504170199,484,0,13
0.53694886747,-7.32215979953,"JUKEBOX NIGHT",0.0,512.6231407380451,1401,1000,275
-5.41519062839,-4.09072608556,"Stille Nacht - Party! FREIER EINTRITT",0.0,537.2728759090464,1419,1000,1
4.06839588923,-1.2034747498,"Musikalischer Parodieabend mit Vicki Vomit",0.0,118.00685909552122,1240,1000,750
-7.67481060204,9.04291744252,"Ü30 CHARTS Party",38.0,424.4044196194497,1071,1000,500
-9.43046732437,5.18352949856,"RED BULL NIGHT RACE (18+)  inkl Pille für die Verzehrkarte ",0.0,473.0418044575205,932,1000,42
-2.36988423415,1.11126404964,"E-EGAL + KILLER JILLER + PEPPONE @VL",0.0,132.21984788860374,812,937,4
0.150139941699,5.48953458828,"Salsacafé im ADA Wuppertal mit DJane Salsa Bomba",0.0,460.3752231191215,1531,1000,182
-10.8856421057,0.0405661724034,"Johann König - MILCHBRÖTCHENRECHNUNG - Das neue Programm!",0.0,437.0314923248928,1814,0,317
4.38777863106,-11.3298115286,"Endlich Mittwoch präsentiert: IGGY & SASCHA || FLASH BENJAMIN || HURRYKAYNE || 21h || 2€ Bier",2.0,360.1314031888345,1202,1000,317
-2.85838399312,7.99547196062,"SimmerZwei",0.0,0.5299113341601656,1275,946,169
-6.27677039145,-9.61442876327,"Tanzabend",5.0,222.98352487416693,856,895,0
5.38627553978,12.1004032574,"Endlich Mittwoch präsentiert: NAKED SUPER HERO || 21h || 2€ Bier",2.0,360.1314031888345,1069,1000,317
-0.684063262115,-6.26189100238,"12. Nacht der Kirchen",0.0,131.9798665771617,561,0,146
9.33906438198,0.825476286219,"DIE PRINZEN",41.0,440.2974557162253,945,1000,1
7.83343473662,-7.86768731525,"Florian Silbereisen präsentiert: Das Fest der Feste",0.0,299.6376011360087,1127,1000,144
11.8320715406,-4.56606561797,"José Parrondo & Antonio Andrade »Cante Flamenco y Guitarra«",0.0,263.45552090212664,750,0,201
-0.409582110809,-0.746742563089," SCHAU II MEETS SCHAU III ",0.0,100.75821422159319,855,8,778
-12.8433136733,-0.0211634158679,"Valerie McCleary & Edi Schorer »Moods & Roots«",0.0,263.45552090212664,967,0,201
-9.71588164862,-8.34005706718,"CLASH OF THE TITANS // LADIES FREE*",0.0,475.9740499011234,855,1000,15
-2.57453008174,-12.0129183011,"After Wiesn Party",0.0,392.54839926269733,981,0,7
4.55011304475,0.0996155651404,"Tess Wiley live",0.0,489.7529427019792,1096,864,37
11.4159300885,3.4579609254,"Cocktail - Night",0.0,526.3780843753592,364,994,13
-12.5528895079,5.96549735595,"Mocca Nova Akustiksession #23",0.0,479.18271525651176,868,1000,51
-3.94575979759,-6.96842021039,"Advenster 2012",0.0,1.9234477921185587,671,0,26
1.10956261185,-7.96097578304,"Cocktail Dreams",3.5,255.96652652472972,414,1000,2
-6.7499317637,8.73969196079,"Tag der offenen Tür - Jubiläumswochenende",0.0,480.9769596652553,1317,1,72
5.70488578599,-10.9951818897,"DORTMUNDER WEIHNACHT",0.0,440.2974557162253,1402,1000,1
0.277487502267,-8.44722565089,"Boris Dlugosch | Studio06 | CCL",0.0,65.75516894992553,707,1000,24
9.39645112458,7.45303696855,"Lektron Live",0.0,102.01450414681958,1533,0,58
-1.59178477408,-0.963202315166,"2GETHER | JEDEN DONNERSTAG | 2€ EINTRITT & KEIN MDVZ | VILLAGE DORTMUND",2.0,439.8125119392884,615,1000,16
-9.23527463057,-9.78387654653,"PREGLOW + TRIEBLAUT @VL",0.0,132.21984788860374,1190,1000,4
-11.7724790655,3.10906667819,"Rock Hard - Party harder @Melodrom Karthalle",0.0,416.1237731474524,1142,982,8
-1.14292723599,-10.4022600136,"Philosophie-Party (Eintritt frei)",0.0,452.9103463158555,1175,940,158
7.16899341182,-9.7655163742,"High Heels Party",0.0,465.0338100245003,1155,434,5
5.35511291401,-4.66433587197,"Le Club Friday Special: Best of 90`s",0.0,434.9531704041002,1218,1000,5
6.28019091414,-10.8218365754,"DER WOLF UND DIE WINTERGEISTER - Magisches Figurenspiel",0.0,375.90067801502215,1045,3,91
-2.79377709235,-10.7072522998,"BRUNOs KARAOKEPARTY",0.0,346.2098749514746,1321,0,194
-8.43273738154,2.1824092833,"Jamsession Kultus",0.0,394.44041976047225,1355,986,1
10.0090455814,-4.09634129434,"THE VELVET UNDERGROUND, performed by Sister Ray Society",0.0,376.0576406393224,781,1000,13
-6.76703530683,-8.82399164667,"Swing im Capitol",0.0,361.79786720850893,1071,0,8
-7.04095986295,9.49443931144,"LIVELYRIX POETRY SLAM",0.0,99.31807783049453,392,0,78
-2.46996673399,7.9162043347,"Freizeit-Land Geiselwind wird 45 Jahre",0.0,272.2131433101205,1240,0,20
-7.27427784351,8.54438197885,"Biker-Fasching",0.0,297.9135643976235,1114,0,34
-1.15574711684,0.0451843702787,"Unsinniger Donnerstag im Kammerer Bräu Bad Reichenhall",0.0,375.314015909461,734,0,47
-4.74403181176,-4.56220223791,"FC Bayern München - Borussia Dortmund",0.0,368.89191213522565,1163,0,81
-0.690350524572,3.46193553904,"DONNERSTAG | STAMMTISCH",0.0,259.82697163691626,1448,1000,5
5.55250239921,-4.72394472484,"POLEDANCE-Schnuppertag",0.0,500.9823081678077,1310,0,191
4.13278428874,11.0468891823,"Ü30 Party",0.0,426.799058066063,1303,1000,4
7.52054707694,5.39053208726,"Kuddel revival Party",3.0,281.85497486839,631,1000,21
4.60085393061,0.160904438355,"NIKOLAUS PARTY - 06.12.2014",0.0,455.9631734965125,1401,998,3
-6.24204786394,-10.260327583,"Konzert im Baal im März",0.0,358.9219816284359,1506,0,60
0.40399244637,-0.83986988142,"Silvesterparty im Brauhaus",0.0,477.349702686581,330,1000,137
-7.42333128097,9.35635069876,"VIU AT HRVST",0.0,358.3139782120717,1518,4,3
3.7476909004,-4.81677713357,"LA FRONTERA (von Infinite Distance)",0.0,103.11396000684559,1091,0,441
5.29302245755,-11.0315056247,"ALTWEIBER PARTY",0.0,465.11280547338436,734,1000,82
7.61367947856,-3.51870307144,"MOVE live im Biergarten",0.0,315.00964758000066,855,989,57
2.13034351069,-4.99740989919,"NachtMusik – Orgel trifft Stimme: Alt",0.0,467.0821100384853,573,0,2
-12.0542655782,-0.412797052671,"Mr.KITTY & Liebknecht  live at Black Revelation (Leipzig)",9.0,101.0849998052325,1491,1000,255
12.8138195162,0.5033558959,"Live Schippikan",0.0,469.46515473197553,681,750,222
-11.9537286985,3.76948881276,"Die Freitagsparty mit 1€ Special!",0.0,471.95675373228914,791,811,33
3.66750984382,6.12966028648,"Big Band - Konzert",9.0,118.33025670561,1500,0,147
3.5094624206,10.6275680682,"Ü 30 PARTY",5.0,323.00178566641875,750,1000,12
12.8154944348,0.539997415668,"SA. 09.05. BLACK BEATZ NIGHT",0.0,376.11809848829256,1555,1000,4
6.8757269214,9.44777017151,"NO LIMIT PARTY - Schnell eines von 5 VIP Tickte´s sichern!",0.0,255.46672252831507,785,0,7
